# Time(a.u.)  Energy(a.u.)  mu_x(a.u.)  mu_y(a.u.)  mu_z(a.u.)
0.0000000000E+00 -9.1253240871E+01 1.0585808781E-06 1.1693910115E-06 1.2496405811E+00
4.0000000000E-02 -9.1253240871E+01 2.7538622251E-06 3.0615985083E-06 1.2496471438E+00
8.0000000000E-02 -9.1253240872E+01 4.2790709325E-06 4.7691261915E-06 1.2496534907E+00
1.2000000000E-01 -9.1253240872E+01 5.5933460503E-06 6.2471087243E-06 1.2496595683E+00
1.6000000000E-01 -9.1253240872E+01 6.7130688006E-06 7.5125092504E-06 1.2496653938E+00
2.0000000000E-01 -9.1253240872E+01 7.7044224652E-06 8.6363032116E-06 1.2496710429E+00
2.4000000000E-01 -9.1253240872E+01 8.6615851302E-06 9.7201724013E-06 1.2496766207E+00
2.8000000000E-01 -9.1253240872E+01 9.6778794584E-06 1.0865497561E-05 1.2496822242E+00
3.2000000000E-01 -9.1253240872E+01 1.0819167077E-05 1.2144578395E-05 1.2496879116E+00
3.6000000000E-01 -9.1253240872E+01 1.2107631168E-05 1.3582846330E-05 1.2496936855E+00
4.0000000000E-01 -9.1253240872E+01 1.3520307131E-05 1.5156845175E-05 1.2496994961E+00
4.4000000000E-01 -9.1253240872E+01 1.5001652172E-05 1.6807359869E-05 1.2497052613E+00
4.8000000000E-01 -9.1253240872E+01 1.6484850512E-05 1.8462137806E-05 1.2497108935E+00
5.2000000000E-01 -9.1253240872E+01 1.7913982774E-05 2.0059829043E-05 1.2497163249E+00
5.6000000000E-01 -9.1253240872E+01 1.9259454908E-05 2.1566956689E-05 1.2497215214E+00
6.0000000000E-01 -9.1253240872E+01 2.0521983667E-05 2.2982739036E-05 1.2497264816E+00
6.4000000000E-01 -9.1253240872E+01 2.1724853976E-05 2.4331262819E-05 1.2497312248E+00
6.8000000000E-01 -9.1253240873E+01 2.2898473554E-05 2.5645139514E-05 1.2497357730E+00
7.2000000000E-01 -9.1253240873E+01 2.4063904727E-05 2.6947708761E-05 1.2497401369E+00
7.6000000000E-01 -9.1253240873E+01 2.5222132605E-05 2.8241072173E-05 1.2497443116E+00
8.0000000000E-01 -9.1253240873E+01 2.6353359604E-05 2.9504727030E-05 1.2497482821E+00
8.4000000000E-01 -9.1253240873E+01 2.7426552070E-05 3.0705291034E-05 1.2497520371E+00
8.8000000000E-01 -9.1253240873E+01 2.8415333264E-05 3.1813366283E-05 1.2497555818E+00
9.2000000000E-01 -9.1253240873E+01 2.9313664851E-05 3.2820636525E-05 1.2497589435E+00
9.6000000000E-01 -9.1253240873E+01 3.0144591273E-05 3.3749936976E-05 1.2497621658E+00
1.0000000000E+00 -9.1253240873E+01 3.0957735979E-05 3.4653448147E-05 1.2497652924E+00
1.0400000000E+00 -9.1253240873E+01 3.1815386569E-05 3.5598503452E-05 1.2497683459E+00
1.0800000000E+00 -9.1253240874E+01 3.2771391643E-05 3.6645212004E-05 1.2497713116E+00
1.1200000000E+00 -9.1253240874E+01 3.3850106534E-05 3.7823467913E-05 1.2497741327E+00
1.1600000000E+00 -9.1253240874E+01 3.5033123465E-05 3.9117680158E-05 1.2497767220E+00
1.2000000000E+00 -9.1253240874E+01 3.6259240606E-05 4.0465353936E-05 1.2497789871E+00
1.2400000000E+00 -9.1253240874E+01 3.7438788437E-05 4.1771172296E-05 1.2497808610E+00
1.2800000000E+00 -9.1253240874E+01 3.8478510609E-05 4.2932971844E-05 1.2497823278E+00
1.3200000000E+00 -9.1253240874E+01 3.9309397377E-05 4.3871785866E-05 1.2497834334E+00
1.3600000000E+00 -9.1253240874E+01 3.9908540946E-05 4.4556424793E-05 1.2497842764E+00
1.4000000000E+00 -9.1253240874E+01 4.0307738105E-05 4.5014517050E-05 1.2497849805E+00
1.4400000000E+00 -9.1253240874E+01 4.0585699199E-05 4.5326110017E-05 1.2497856585E+00
1.4800000000E+00 -9.1253240874E+01 4.0845972146E-05 4.5601466747E-05 1.2497863776E+00
1.5200000000E+00 -9.1253240874E+01 4.1187303201E-05 4.5949754549E-05 1.2497871395E+00
1.5600000000E+00 -9.1253240874E+01 4.1675588545E-05 4.6448225563E-05 1.2497878810E+00
